IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.154.73.91,443,443,true,FRA,Europe,Frankfurt,163,7.34
34.34.186.205,443,443,true,CDG,Europe,Paris,228,7.29
34.89.252.171,443,443,true,FRA,Europe,Frankfurt,179,7.28
34.91.49.243,443,443,true,FRA,Europe,Frankfurt,177,7.28
34.163.89.60,2053,443,true,CDG,Europe,Paris,229,7.27
34.91.129.16,443,443,true,FRA,Europe,Frankfurt,180,7.26
35.246.156.11,443,443,true,FRA,Europe,Frankfurt,168,7.26
34.65.138.64,443,443,true,FRA,Europe,Frankfurt,183,7.26
34.116.169.38,443,443,true,FRA,Europe,Frankfurt,280,7.25
34.159.163.244,443,443,true,FRA,Europe,Frankfurt,221,7.23
34.65.0.17,443,443,true,FRA,Europe,Frankfurt,178,7.22
34.116.208.56,443,443,true,FRA,Europe,Frankfurt,189,7.22
35.246.147.125,443,443,true,FRA,Europe,Frankfurt,188,7.21
34.65.141.95,443,443,true,FRA,Europe,Frankfurt,181,7.20
34.91.0.38,443,443,true,FRA,Europe,Frankfurt,181,7.19
34.89.178.255,443,443,true,FRA,Europe,Frankfurt,177,7.18
34.90.72.196,443,443,true,FRA,Europe,Frankfurt,177,7.18
34.107.94.122,443,443,true,FRA,Europe,Frankfurt,244,7.18
34.154.31.203,443,443,true,FRA,Europe,Frankfurt,178,7.17
34.90.132.107,443,443,true,FRA,Europe,Frankfurt,176,7.17
34.116.196.84,443,443,true,FRA,Europe,Frankfurt,190,7.16
34.107.24.193,443,443,true,FRA,Europe,Frankfurt,213,7.16
34.116.158.206,443,443,true,FRA,Europe,Frankfurt,192,7.16
34.91.153.20,443,443,true,FRA,Europe,Frankfurt,166,7.14
35.234.89.114,443,443,true,FRA,Europe,Frankfurt,170,7.13
34.118.0.2,443,443,true,FRA,Europe,Frankfurt,184,7.13
34.89.180.220,443,443,true,FRA,Europe,Frankfurt,182,7.12
34.147.0.100,443,443,true,FRA,Europe,Frankfurt,181,7.09
34.154.78.66,443,443,true,FRA,Europe,Frankfurt,212,7.09
34.89.137.64,443,443,true,FRA,Europe,Frankfurt,174,7.08
34.90.132.107,443,443,true,FRA,Europe,Frankfurt,178,7.07
34.154.127.142,443,443,true,FRA,Europe,Frankfurt,175,7.07
35.234.127.130,443,443,true,FRA,Europe,Frankfurt,177,7.06
34.89.252.171,443,443,true,FRA,Europe,Frankfurt,178,7.06
35.234.127.98,443,443,true,FRA,Europe,Frankfurt,175,7.06
34.154.26.7,443,443,true,FRA,Europe,Frankfurt,209,7.06
34.116.240.97,443,443,true,FRA,Europe,Frankfurt,205,7.05
34.65.30.3,443,443,true,FRA,Europe,Frankfurt,184,7.04
34.65.202.116,443,443,true,FRA,Europe,Frankfurt,176,7.04
34.89.137.64,443,443,true,FRA,Europe,Frankfurt,170,7.04
34.91.219.105,443,443,true,FRA,Europe,Frankfurt,180,7.02
34.154.104.163,443,443,true,FRA,Europe,Frankfurt,189,7.02
34.89.180.220,443,443,true,FRA,Europe,Frankfurt,179,7.01
34.141.186.239,443,443,true,FRA,Europe,Frankfurt,178,7.00
34.154.0.39,443,443,true,FRA,Europe,Frankfurt,182,7.00
34.91.0.38,443,443,true,FRA,Europe,Frankfurt,177,6.99
34.91.231.189,443,443,true,FRA,Europe,Frankfurt,180,6.99
34.65.30.3,443,443,true,FRA,Europe,Frankfurt,177,6.98
35.234.64.64,443,443,true,FRA,Europe,Frankfurt,170,6.98
34.118.72.139,443,443,true,FRA,Europe,Frankfurt,194,6.97
34.118.89.221,443,443,true,FRA,Europe,Frankfurt,194,6.97
34.159.49.76,443,443,true,FRA,Europe,Frankfurt,166,6.96
34.65.245.221,443,443,true,FRA,Europe,Frankfurt,175,6.96
34.116.140.31,443,443,true,FRA,Europe,Frankfurt,190,6.96
35.234.163.218,443,443,true,FRA,Europe,Frankfurt,183,6.96
34.65.140.128,443,443,true,FRA,Europe,Frankfurt,176,6.96
34.159.239.16,443,443,true,FRA,Europe,Frankfurt,202,6.95
34.154.13.73,443,443,true,FRA,Europe,Frankfurt,180,6.95
34.91.153.20,443,443,true,FRA,Europe,Frankfurt,175,6.95
34.154.211.168,443,443,true,FRA,Europe,Frankfurt,184,6.94
34.91.231.189,443,443,true,FRA,Europe,Frankfurt,168,6.94
34.65.245.221,443,443,true,FRA,Europe,Frankfurt,175,6.94
34.91.153.20,443,443,true,FRA,Europe,Frankfurt,178,6.93
34.116.218.188,443,443,true,FRA,Europe,Frankfurt,176,6.93
34.154.183.94,443,443,true,FRA,Europe,Frankfurt,179,6.93
34.116.202.205,443,443,true,FRA,Europe,Frankfurt,208,6.92
34.118.105.159,443,443,true,FRA,Europe,Frankfurt,188,6.89
34.32.162.52,443,443,true,FRA,Europe,Frankfurt,180,6.87
34.118.121.235,443,443,true,FRA,Europe,Frankfurt,214,6.87
35.204.115.158,443,443,true,AMS,Europe,Amsterdam,180,6.86
34.89.180.220,443,443,true,FRA,Europe,Frankfurt,207,6.86
34.91.231.189,443,443,true,FRA,Europe,Frankfurt,181,6.85
34.91.49.243,443,443,true,FRA,Europe,Frankfurt,178,6.85
34.89.135.64,443,443,true,FRA,Europe,Frankfurt,170,6.83
34.116.138.28,443,443,true,FRA,Europe,Frankfurt,255,6.82
34.91.219.105,443,443,true,FRA,Europe,Frankfurt,181,6.81
34.65.123.152,443,443,true,FRA,Europe,Frankfurt,173,6.81
35.198.123.156,443,443,true,FRA,Europe,Frankfurt,179,6.81
34.107.24.193,443,443,true,FRA,Europe,Frankfurt,169,6.81
34.90.132.107,443,443,true,FRA,Europe,Frankfurt,203,6.80
35.204.29.233,443,443,true,FRA,Europe,Frankfurt,178,6.79
34.91.231.89,443,443,true,FRA,Europe,Frankfurt,194,6.78
34.141.22.157,443,443,true,FRA,Europe,Frankfurt,179,6.77
34.141.148.91,443,443,true,FRA,Europe,Frankfurt,213,6.77
34.154.232.65,443,443,true,FRA,Europe,Frankfurt,174,6.74
34.154.64.122,443,443,true,FRA,Europe,Frankfurt,189,6.73
34.154.90.63,443,443,true,FRA,Europe,Frankfurt,185,6.72
34.91.219.105,443,443,true,FRA,Europe,Frankfurt,179,6.70
34.116.242.182,443,443,true,FRA,Europe,Frankfurt,243,6.67
34.116.196.194,443,443,true,FRA,Europe,Frankfurt,234,6.64
34.65.251.175,443,443,true,FRA,Europe,Frankfurt,179,6.64
34.159.29.188,443,443,true,FRA,Europe,Frankfurt,190,6.63
34.154.73.26,443,443,true,FRA,Europe,Frankfurt,180,6.62
34.141.254.190,443,443,true,FRA,Europe,Frankfurt,199,6.61
34.116.220.191,443,443,true,FRA,Europe,Frankfurt,261,6.56
34.116.206.219,443,443,true,FRA,Europe,Frankfurt,188,6.55
35.198.90.177,443,443,true,FRA,Europe,Frankfurt,177,6.51
34.154.27.120,443,443,true,FRA,Europe,Frankfurt,189,6.51
34.90.39.168,443,443,true,FRA,Europe,Frankfurt,175,6.48
34.118.20.158,443,443,true,FRA,Europe,Frankfurt,197,6.48
34.90.132.107,443,443,true,FRA,Europe,Frankfurt,178,6.44
35.234.72.255,443,443,true,FRA,Europe,Frankfurt,183,6.41
34.91.129.16,443,443,true,FRA,Europe,Frankfurt,183,6.40
34.159.16.191,443,443,true,FRA,Europe,Frankfurt,169,6.39
34.154.45.210,443,443,true,FRA,Europe,Frankfurt,198,6.36
34.116.200.90,443,443,true,FRA,Europe,Frankfurt,242,6.33
34.154.75.239,443,443,true,FRA,Europe,Frankfurt,177,6.30
34.116.217.39,443,443,true,FRA,Europe,Frankfurt,271,6.28
34.116.206.219,443,443,true,FRA,Europe,Frankfurt,266,6.26
34.118.66.153,443,443,true,FRA,Europe,Frankfurt,188,6.25
34.154.104.94,443,443,true,FRA,Europe,Frankfurt,183,6.24
34.154.112.136,443,443,true,FRA,Europe,Frankfurt,176,6.21
34.154.184.79,443,443,true,FRA,Europe,Frankfurt,179,6.15
34.116.145.227,443,443,true,FRA,Europe,Frankfurt,225,6.11
34.154.57.34,443,443,true,FRA,Europe,Frankfurt,229,6.11
34.154.100.69,443,443,true,FRA,Europe,Frankfurt,177,6.10
