IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
152.67.132.138,443,443,true,FRA,Europe,Frankfurt,178,8.20
84.235.161.177,443,443,true,FRA,Europe,Frankfurt,185,8.16
143.47.185.129,443,443,true,FRA,Europe,Frankfurt,169,8.15
141.144.194.139,443,443,true,FRA,Europe,Frankfurt,173,8.14
143.47.189.131,443,443,true,FRA,Europe,Frankfurt,187,8.14
129.159.203.139,443,443,true,FRA,Europe,Frankfurt,181,8.14
143.47.235.42,443,443,true,FRA,Europe,Frankfurt,192,8.13
132.226.132.79,443,443,true,FRA,Europe,Frankfurt,186,8.13
193.123.38.231,443,443,true,FRA,Europe,Frankfurt,169,8.10
152.67.131.63,443,443,true,FRA,Europe,Frankfurt,196,8.09
141.147.100.32,443,443,true,FRA,Europe,Frankfurt,191,8.05
141.147.98.237,443,443,true,FRA,Europe,Frankfurt,196,8.05
150.230.144.54,443,443,true,FRA,Europe,Frankfurt,167,8.05
150.230.21.191,443,443,true,FRA,Europe,Frankfurt,175,8.04
79.72.91.94,443,443,true,FRA,Europe,Frankfurt,179,8.03
141.144.198.142,443,443,true,FRA,Europe,Frankfurt,182,8.01
132.226.226.120,443,443,true,SIN,Asia Pacific,Singapore,208,8.00
130.162.174.238,443,443,true,FRA,Europe,Frankfurt,181,7.97
141.147.75.79,443,443,true,FRA,Europe,Frankfurt,199,7.97
84.8.146.166,443,443,true,FRA,Europe,Frankfurt,205,7.95
89.168.81.11,443,443,true,FRA,Europe,Frankfurt,165,7.95
130.162.134.198,443,443,true,SIN,Asia Pacific,Singapore,218,7.93
193.122.112.11,443,443,true,SIN,Asia Pacific,Singapore,237,7.92
84.235.166.202,443,443,true,FRA,Europe,Frankfurt,171,7.92
143.47.253.53,443,443,true,FRA,Europe,Frankfurt,199,7.88
141.147.108.56,443,443,true,FRA,Europe,Frankfurt,198,7.86
143.47.179.54,443,443,true,FRA,Europe,Frankfurt,175,7.86
84.235.169.15,443,443,true,FRA,Europe,Frankfurt,179,7.84
132.226.131.96,443,443,true,FRA,Europe,Frankfurt,179,7.82
138.2.173.68,443,443,true,FRA,Europe,Frankfurt,183,7.82
79.72.84.28,443,443,true,FRA,Europe,Frankfurt,180,7.81
141.144.205.245,443,443,true,FRA,Europe,Frankfurt,183,7.79
141.147.62.217,443,443,true,FRA,Europe,Frankfurt,169,7.77
138.2.170.56,443,443,true,FRA,Europe,Frankfurt,183,7.75
64.110.73.45,443,443,true,SIN,Asia Pacific,Singapore,214,7.73
152.70.48.118,443,443,true,FRA,Europe,Frankfurt,183,7.71
144.21.33.9,443,443,true,FRA,Europe,Frankfurt,182,7.69
141.148.225.123,443,443,true,FRA,Europe,Frankfurt,191,7.66
89.168.88.33,443,443,true,FRA,Europe,Frankfurt,178,7.65
150.230.121.92,443,443,true,FRA,Europe,Frankfurt,174,7.65
143.47.236.254,443,443,true,FRA,Europe,Frankfurt,225,7.65
84.235.162.240,443,443,true,FRA,Europe,Frankfurt,184,7.62
141.144.204.88,443,443,true,FRA,Europe,Frankfurt,190,7.59
141.147.105.124,443,443,true,FRA,Europe,Frankfurt,173,7.58
193.123.62.167,443,443,true,FRA,Europe,Frankfurt,179,7.53
193.122.112.11,443,443,true,SIN,Asia Pacific,Singapore,216,7.50
141.148.247.13,443,443,true,FRA,Europe,Frankfurt,182,7.50
64.110.90.94,443,443,true,SIN,Asia Pacific,Singapore,222,7.50
64.110.90.126,443,443,true,SIN,Asia Pacific,Singapore,212,7.49
141.144.204.247,443,443,true,FRA,Europe,Frankfurt,171,7.47
130.162.164.44,443,443,true,FRA,Europe,Frankfurt,188,7.46
84.235.167.179,443,443,true,FRA,Europe,Frankfurt,183,7.46
140.238.80.116,443,443,true,FRA,Europe,Frankfurt,183,7.44
130.162.176.63,443,443,true,FRA,Europe,Frankfurt,197,7.38
141.147.28.136,443,443,true,FRA,Europe,Frankfurt,181,7.38
84.235.163.199,443,443,true,FRA,Europe,Frankfurt,173,7.37
141.148.224.153,443,443,true,FRA,Europe,Frankfurt,181,7.29
193.123.246.234,443,443,true,SIN,Asia Pacific,Singapore,208,7.27
130.162.211.249,443,443,true,FRA,Europe,Frankfurt,167,7.24
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,175,7.21
132.226.133.38,443,443,true,FRA,Europe,Frankfurt,182,7.18
143.47.242.202,443,443,true,FRA,Europe,Frankfurt,200,7.18
132.226.132.247,443,443,true,FRA,Europe,Frankfurt,171,7.14
141.147.70.189,443,443,true,FRA,Europe,Frankfurt,185,7.11
141.144.207.134,443,443,true,FRA,Europe,Frankfurt,173,7.10
140.238.120.228,443,443,true,FRA,Europe,Frankfurt,196,7.09
130.162.32.113,443,443,true,FRA,Europe,Frankfurt,188,7.08
130.162.46.144,443,443,true,FRA,Europe,Frankfurt,189,7.08
130.162.186.248,443,443,true,FRA,Europe,Frankfurt,176,7.08
89.168.92.133,443,443,true,FRA,Europe,Frankfurt,166,7.08
84.235.170.86,443,443,true,FRA,Europe,Frankfurt,188,7.05
89.168.66.238,443,443,true,FRA,Europe,Frankfurt,159,7.03
144.24.168.159,443,443,true,FRA,Europe,Frankfurt,153,7.01
89.168.74.11,443,443,true,FRA,Europe,Frankfurt,169,6.98
89.168.52.251,8443,443,true,CDG,Europe,Paris,167,6.98
150.230.120.172,443,443,true,FRA,Europe,Frankfurt,185,6.97
141.147.106.21,443,443,true,FRA,Europe,Frankfurt,178,6.97
143.47.243.144,8443,443,true,LHR,Europe,London,173,6.95
150.136.241.40,8443,443,true,IAD,North America,Ashburn,260,6.90
141.147.105.110,443,443,true,FRA,Europe,Frankfurt,159,6.88
130.162.170.151,443,443,true,FRA,Europe,Frankfurt,203,6.88
193.122.197.111,443,443,true,IAD,North America,Ashburn,287,6.88
138.2.164.195,443,443,true,FRA,Europe,Frankfurt,183,6.82
130.162.171.151,443,443,true,FRA,Europe,Frankfurt,189,6.77
130.162.147.115,443,443,true,SIN,Asia Pacific,Singapore,216,6.74
144.24.184.166,443,443,true,FRA,Europe,Frankfurt,165,6.74
132.145.227.64,443,443,true,FRA,Europe,Frankfurt,183,6.72
138.2.178.104,443,443,true,FRA,Europe,Frankfurt,178,6.71
141.147.35.125,443,443,true,FRA,Europe,Frankfurt,163,6.71
130.162.168.231,443,443,true,FRA,Europe,Frankfurt,189,6.68
130.162.188.145,443,443,true,FRA,Europe,Frankfurt,175,6.66
164.152.26.70,2052,443,true,ORD,North America,Chicago,237,6.62
141.147.9.205,443,443,true,FRA,Europe,Frankfurt,165,6.62
204.216.214.115,2095,443,true,MRS,Europe,Marseille,246,6.62
143.47.251.222,443,443,true,FRA,Europe,Frankfurt,186,6.57
192.9.250.241,443,443,true,SJC,North America,San Jose,236,6.56
138.2.171.93,443,443,true,FRA,Europe,Frankfurt,180,6.55
217.142.128.234,443,443,true,SIN,Asia Pacific,Singapore,210,6.52
130.162.165.184,443,443,true,FRA,Europe,Frankfurt,182,6.50
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,165,6.48
79.72.75.191,443,443,true,FRA,Europe,Frankfurt,184,6.43
141.145.205.115,8443,8443,true,CDG,Europe,Paris,167,6.43
150.230.23.229,443,443,true,FRA,Europe,Frankfurt,171,6.42
152.67.133.217,443,443,true,FRA,Europe,Frankfurt,189,6.36
140.238.28.86,443,443,true,HKG,Asia Pacific,Hong Kong,122,6.34
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,166,6.33
158.179.207.182,8443,443,true,ARN,Europe,Stockholm,187,6.29
143.47.181.133,443,443,true,FRA,Europe,Frankfurt,199,6.26
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,1,6.26
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,166,6.19
168.138.162.187,443,443,true,SIN,Asia Pacific,Singapore,6,6.15
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,181,6.12
141.147.78.89,443,443,true,FRA,Europe,Frankfurt,160,6.01
193.123.63.65,443,443,true,FRA,Europe,Frankfurt,169,5.97
141.147.106.195,443,443,true,FRA,Europe,Frankfurt,187,5.93
164.152.26.70,2086,443,true,ORD,North America,Chicago,233,5.92
68.233.127.163,8443,443,true,YYZ,North America,Toronto,255,5.90
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,165,5.85
132.145.54.84,8443,443,true,LHR,Europe,London,169,5.73
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,71,5.73
132.226.10.65,443,443,true,NRT,Asia Pacific,Tokyo,87,5.53
141.148.229.231,2053,443,true,AMS,Europe,Amsterdam,174,5.51
140.238.195.98,443,443,true,SYD,Oceania,Sydney,99,5.49
140.238.195.98,443,443,true,SYD,Oceania,Sydney,98,5.48
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,116,5.45
132.145.54.84,2053,443,true,LHR,Europe,London,196,5.40
131.186.27.112,2096,443,true,ICN,Asia Pacific,Seoul,106,5.40
132.145.82.137,443,443,true,ICN,Asia Pacific,Seoul,134,5.35
130.162.229.42,2053,443,true,FRA,Europe,Frankfurt,180,5.29
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,80,5.29
143.47.243.144,2053,443,true,LHR,Europe,London,170,5.29
152.67.249.123,443,443,true,SJC,North America,San Jose,190,5.24
159.13.46.42,443,443,true,SYD,Oceania,Sydney,109,5.23
141.148.229.231,8443,443,true,AMS,Europe,Amsterdam,168,5.21
150.230.124.158,443,443,true,FRA,Europe,Frankfurt,171,5.19
129.146.2.27,443,443,true,LAX,North America,Los Angeles,224,5.17
130.162.140.215,443,443,true,NRT,Asia Pacific,Tokyo,113,5.17
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,100,5.16
131.186.28.236,443,443,true,NRT,Asia Pacific,Tokyo,122,5.07
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,74,4.93
152.69.178.16,443,443,true,MEL,Oceania,Melbourne,94,4.80
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,169,4.77
193.122.125.174,2053,443,true,ICN,Asia Pacific,Seoul,108,4.72
193.122.61.167,443,443,true,FRA,Europe,Frankfurt,179,4.71
140.238.15.251,443,443,true,ICN,Asia Pacific,Seoul,103,4.68
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,80,4.67
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,180,4.67
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,171,4.65
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,164,4.62
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,172,4.60
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,171,4.60
152.67.65.201,443,443,true,MXP,Europe,Milan,148,4.59
146.235.219.98,443,443,true,SJC,North America,San Jose,190,4.56
144.24.189.21,443,443,true,FRA,Europe,Frankfurt,170,4.55
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,188,4.55
140.238.15.251,443,443,true,ICN,Asia Pacific,Seoul,110,4.50
192.9.159.65,443,443,true,SJC,North America,San Jose,192,4.48
158.179.203.23,443,443,true,OSL,Europe,Oslo,195,4.46
192.9.224.194,443,443,true,SJC,North America,San Jose,192,4.39
155.248.196.123,443,443,true,YVR,North America,Vancouver,190,4.33
152.67.231.219,443,443,true,SJC,North America,San Jose,190,4.27
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,216,4.26
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,238,4.26
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,197,4.23
129.153.213.8,443,443,true,LAX,North America,Los Angeles,211,4.09
158.101.11.22,8443,443,true,LAX,North America,Los Angeles,182,4.09
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,79,3.93
129.80.123.71,443,443,true,IAD,North America,Ashburn,259,3.91
192.18.159.129,443,443,true,YYZ,North America,Toronto,248,3.77
158.180.231.216,443,443,true,MRS,Europe,Marseille,243,3.74
168.138.71.220,443,443,true,YYZ,North America,Toronto,270,3.71
132.226.226.100,2053,443,true,ICN,Asia Pacific,Seoul,132,3.60
155.248.202.141,443,443,true,SJC,North America,San Jose,203,3.50
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,195,3.43
144.24.188.240,443,443,true,FRA,Europe,Frankfurt,166,3.19
158.180.49.11,8443,443,true,FRA,Europe,Frankfurt,168,3.16
